2024-03-09 16:17:05,873 - INFO - name='cbr_spider_parser'
2024-03-09 16:17:05,873 - INFO - start_urls=['https://cbr.ru/dkp/']
2024-03-09 16:17:06,436 - INFO - title='Денежно-кредитная политика'
2024-03-09 16:17:06,437 - INFO - href='/dkp/objective_and_principles/', text='Цели и принципы денежно-кредитной политики'
2024-03-09 16:17:06,437 - INFO - href='/dkp/about_inflation/', text='Что такое инфляция'
2024-03-09 16:17:06,437 - INFO - href='/dkp/w_infl/', text='Как Банк России влияет на инфляцию'
2024-03-09 16:17:06,437 - INFO - href='/dkp/system_p/', text='Прогнозирование и модельный аппарат'
2024-03-09 16:17:06,437 - INFO - href='/dkp/how_dec/', text='Как принимаются решения по ключевой ставке'
2024-03-09 16:17:06,437 - INFO - href='/dkp/information_policy/', text='Как мы рассказываем о своих решениях'
2024-03-09 16:17:06,438 - INFO - href='/dkp/review__dkp/', text='Обзор денежно-кредитной политики Банка России'
2024-03-09 16:17:06,438 - INFO - href='/dkp/mp_dec/', text='Решения по денежно-кредитной политике'
2024-03-09 16:17:06,438 - INFO - href='/dkp/cal_mp/', text='Календарь решений по ключевой ставке'
2024-03-09 16:17:06,438 - INFO - href='/dkp/voc/', text='Глоссарий'
2024-03-09 16:17:06,438 - INFO - href='/dkp/mp/', text='Мониторинг предприятий'
2024-03-09 16:17:06,438 - INFO - href='/dkp/statistics/', text='Статистика'
2024-03-09 16:17:06,438 - INFO - href='/dkp/analytic/', text='Аналитика'
2024-03-09 16:17:06,438 - INFO - href='/dkp/acts/', text='Правовые акты'
2024-03-09 16:17:06,438 - INFO - href='/dkp/faq/', text='Вопросы и ответы'
2024-03-09 16:17:06,438 - INFO - href='/dkp/news/', text='Новости'
